Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
92,2790_1510 INT JUMP STREET CHAPEL,001,3549 ,04/28/11,AMERICAN EXPRESS,LP,AX,ANYWHERE SCREEN_PIER 1,269.95 
93,2790_1510 INT JUMP STREET CHAPEL,001,3549 ,04/28/11,AMERICAN EXPRESS,TAX,AX,ANYWHERE SCREEN_PIER 1,23.62 
94,2790_1510 INT JUMP STREET CHAPEL,001,3619 ,04/28/11,AMERICAN EXPRESS,LP,AX,CIRCUS VASE_HAZELNUT,115.00 
95,2790_1510 INT JUMP STREET CHAPEL,001,3619 ,04/28/11,AMERICAN EXPRESS,TAX,AX,CIRCUS VASE_HAZELNUT,10.35 
96,2790_1510 INT JUMP STREET CHAPEL,001,3635 ,04/28/11,AMERICAN EXPRESS,LP,AX,USB RECORDPLAYER_URBAN OUTFITT,160.00 
97,2790_1510 INT JUMP STREET CHAPEL,001,3635 ,04/28/11,AMERICAN EXPRESS,TAX,AX,USB RECORDPLAYER_URBAN OUTFITT,14.40 
98,2790_1510 INT JUMP STREET CHAPEL,001,3637 ,04/28/11,AMERICAN EXPRESS,LP,AX,RED MIRROR_COST PLUS,109.76 
99,2790_1510 INT JUMP STREET CHAPEL,001,3637 ,04/28/11,AMERICAN EXPRESS,TAX,AX,RED MIRROR_COST PLUS,9.60 
100,2790_1510 INT JUMP STREET CHAPEL,001,3640 ,04/28/11,AMERICAN EXPRESS,LP,AX,MEDICAL SCALE_RENAISSANCE,195.00 
101,2790_1510 INT JUMP STREET CHAPEL,001,3640 ,04/28/11,AMERICAN EXPRESS,TAX,AX,MEDICAL SCALE_RENAISSANCE,17.06 
102,2790_1510 INT JUMP STREET CHAPEL,001,3640 ,04/28/11,AMERICAN EXPRESS,LP,AX,TUFTED BENCH_RENAISSANCE,235.00 
103,2790_1510 INT JUMP STREET CHAPEL,001,3640 ,04/28/11,AMERICAN EXPRESS,TAX,AX,TUFTED BENCH_RENAISSANCE,20.56 
104,2790_1510 INT JUMP STREET CHAPEL,001,4163 ,05/04/11,AMERICAN EXPRESS,LP,AX,BK LUCIAN FREUD STUDIO B&N,52.00 
105,2790_1510 INT JUMP STREET CHAPEL,001,4163 ,05/04/11,AMERICAN EXPRESS,TAX,AX,BK LUCIAN FREUD STUDIO B&N,4.55 
106,2790_1510 INT JUMP STREET CHAPEL,001,4165 ,05/04/11,AMERICAN EXPRESS,LP,AX,SENTRY SAFE_OFC DEPOT,175.99 
107,2790_1510 INT JUMP STREET CHAPEL,001,4165 ,05/04/11,AMERICAN EXPRESS,TAX,AX,SENTRY SAFE_OFC DEPOT,15.84 
108,2790_1510 INT JUMP STREET CHAPEL,001,5017 ,05/10/11,AMERICAN EXPRESS,LP,AX,WHT PRCLN BIN_ANTHROPOLOGIE,158.00 
109,2790_1510 INT JUMP STREET CHAPEL,001,5017 ,05/10/11,AMERICAN EXPRESS,TAX,AX,WHT PRCLN BIN_ANTHROPOLOGIE,14.22 
110,2790_1510 INT JUMP STREET CHAPEL,001,5017 ,05/10/11,AMERICAN EXPRESS,LP,AX,CRAMC PAINTED TRAY_ANTHROPOLOG,149.95 
111,2790_1510 INT JUMP STREET CHAPEL,001,5017 ,05/10/11,AMERICAN EXPRESS,TAX,AX,CRAMC PAINTED TRAY_ANTHROPOLOG,13.50 
112,2790_1510 INT JUMP STREET CHAPEL,001,5018 ,05/10/11,AMERICAN EXPRESS,LP,AX,SCREEN PRINT PILLOW_ANTHROPOLO,148.00 
113,2790_1510 INT JUMP STREET CHAPEL,001,5018 ,05/10/11,AMERICAN EXPRESS,TAX,AX,SCREEN PRINT PILLOW_ANTHROPOLO,13.32 
114,2790_1510 INT JUMP STREET CHAPEL,001,5018 ,05/10/11,AMERICAN EXPRESS,LP,AX,WHT PORCELAIN TUREEN_ANTHROPOL,148.00 
115,2790_1510 INT JUMP STREET CHAPEL,001,5018 ,05/10/11,AMERICAN EXPRESS,TAX,AX,WHT PORCELAIN TUREEN_ANTHROPOL,13.32 
116,2790_1510 INT JUMP STREET CHAPEL,001,5026 ,05/10/11,AMERICAN EXPRESS,LP,AX,LTHR TUFTED CLUB CHAIR_RENAISS,195.00 
117,2790_1510 INT JUMP STREET CHAPEL,001,5026 ,05/10/11,AMERICAN EXPRESS,TAX,AX,LTHR TUFTED CLUB CHAIR_RENAISS,17.06 
118,2790_1510 INT JUMP STREET CHAPEL,001,5026 ,05/10/11,AMERICAN EXPRESS,LP,AX,LTHR TUFTED SOFA_RENAISSANCE,390.00 
119,2790_1510 INT JUMP STREET CHAPEL,001,5026 ,05/10/11,AMERICAN EXPRESS,TAX,AX,LTHR TUFTED SOFA_RENAISSANCE,34.13 
120,2790_1510 INT JUMP STREET CHAPEL,001,5027 ,05/10/11,AMERICAN EXPRESS,XX,AX,30X KOREAN_ENGLISH HYMNAL,194.61 
121,2790_1510 INT JUMP STREET CHAPEL,001,5029 ,05/10/11,AMERICAN EXPRESS,LP,AX,3 STEP CABINET_RENAISSANCE,195.00 
122,2790_1510 INT JUMP STREET CHAPEL,001,5029 ,05/10/11,AMERICAN EXPRESS,TAX,AX,3 STEP CABINET_RENAISSANCE,17.06 
123,2790_1510 INT JUMP STREET CHAPEL,001,5928 ,05/12/11,AMERICAN EXPRESS,LP,AX,DBL SIDED DRY ERASE EASEL_OFCM,186.99 
124,2790_1510 INT JUMP STREET CHAPEL,001,5928 ,05/12/11,AMERICAN EXPRESS,TAX,AX,DBL SIDED DRY ERASE EASEL_OFCM,16.36 
125,2790_1510 INT JUMP STREET CHAPEL,001,5929 ,05/12/11,AMERICAN EXPRESS,LP,AX,BIKE TOWNIE 21_BICYCLE MICHAEL,435.00 
126,2790_1510 INT JUMP STREET CHAPEL,001,5929 ,05/12/11,AMERICAN EXPRESS,TAX,AX,BIKE TOWNIE 21_BICYCLE MICHAEL,39.15 
